"ID";"type";"reactionTime";"startTimeOfStimulus";"deg";"modelNumber";"relativeResistance"
"id11";"hit";2623;0.268598077079677;0.50157216039569;"m8";-0.0862611847156288
"id11";"hit";3588;-0.367567209772285;0.168238827062356;"m5";-0.0862611847156288
"id11";"hit";3294;0.446600234681588;0.168238827062356;"m15";-0.0862611847156288
"id11";"hit";1595;0.336507991139242;-0.49842783960431;"m13";-0.0862611847156288
"id11";"incorrect";5071;0.302743945514446;-0.49842783960431;"m16";-0.0862611847156288
"id11";"hit";2851;-0.219929056582549;0.50157216039569;"m7";0.154555141814983
"id11";"hit";1645;-0.199619719499675;-0.49842783960431;"m12";0.154555141814983
"id11";"incorrect";2403;-0.237523209238945;0.50157216039569;"m14";0.154555141814983
"id11";"hit";3935;0.246785691475003;-0.165094506270977;"m4";0.154555141814983
"id11";"hit";6059;0.27366480516123;-0.165094506270977;"m15";0.154555141814983
"id11";"hit";2724;0.313416802155133;0.168238827062356;"m6";0.154555141814983
"id11";"hit";1994;-0.252638543970275;0.50157216039569;"m8";0.154555141814983
"id11";"hit";993;-0.357597391956311;-0.49842783960431;"m4";0.154555141814983
"id11";"incorrect";2669;-0.156316164305067;0.168238827062356;"m5";0.154555141814983
"id11";"incorrect";2212;-0.336003190814479;0.168238827062356;"m12";0.154555141814983
"id11";"hit";2600;-0.271426650492778;0.168238827062356;"m2";0.154555141814983
"id11";"incorrect";1981;-0.309045288294449;-0.165094506270977;"m16";0.154555141814983
"id11";"incorrect";1570;-0.348548797427893;0.50157216039569;"m5";0.154555141814983
"id11";"hit";2023;0.0110979861694844;-0.165094506270977;"m13";0.154555141814983
"id11";"hit";1955;0.0263890806069927;0.50157216039569;"m7";0.154555141814983
"id11";"hit";2199;-0.186619561922008;-0.49842783960431;"m2";0.154555141814983
"id11";"hit";3226;-0.294008742396922;0.50157216039569;"m5";0.154555141814983
"id11";"incorrect";1226;-0.401173677729472;-0.49842783960431;"m3";0.154555141814983
"id11";"hit";2049;-0.390712944872104;-0.49842783960431;"m8";0.154555141814983
"id11";"incorrect";2415;-0.375264272766988;0.50157216039569;"m4";0.154555141814983
"id11";"hit";3642;-0.116400528964032;0.168238827062356;"m5";0.154555141814983
"id11";"incorrect";3390;-0.0912971943781586;-0.49842783960431;"m15";0.154555141814983
"id11";"hit";3894;-0.0677211510321787;-0.49842783960431;"m16";0.154555141814983
